team,year,class,status,gender,Sport
Crofton,2021,3AE,RR1,Boys,Football
Crofton,2022,3AE,RR1,Boys,Football
Crofton,2023,4A/3AE,RR1,Boys,Football
Crossland,1992,4A,RU,Boys,Football
Crossland,1977,AA,SF,Boys,Football
Crossland,1978,AA,SF,Boys,Football
Crossland,1995,3A,SF,Boys,Football
Crossland,2018,2AN,RS,Boys,Football
Crossland,2019,2AS,RR1,Boys,Football
Crossland,2021,2A/1AS,RR1,Boys,Football
Crossland,2022,2A/1AS,RR1,Boys,Football
Crossland,2023,2AS,RR1,Boys,Football
Damascus,1981,B,CH,Boys,Football
Damascus,1992,2A,CH,Boys,Football
Damascus,1993,2A,CH,Boys,Football
Damascus,1996,3A,CH,Boys,Football
Damascus,2003,4AW,CH,Boys,Football
Damascus,2005,4AW,CH,Boys,Football
Damascus,2007,3AW,CH,Boys,Football
Damascus,2015,3AW,CH,Boys,Football
Damascus,2016,3AW,CH,Boys,Football
Damascus,2017,2AW,CH,Boys,Football
Damascus,2019,3AW,CH,Boys,Football
Damascus,2022,3AW,CH,Boys,Football
Damascus,1989,2A,RU,Boys,Football
Damascus,1990,2A,RU,Boys,Football
Damascus,2004,4AW,RU,Boys,Football
Damascus,2014,3AW,RU,Boys,Football
Damascus,1999,3A,SF,Boys,Football
Damascus,2002,4A,SF,Boys,Football
Damascus,2010,3AW,SF,Boys,Football
Damascus,1987,B,QF,Boys,Football
Damascus,1998,3A,QF,Boys,Football
Damascus,2000,3A,QF,Boys,Football
Damascus,2001,4A,QF,Boys,Football
Damascus,2011,3AW,RR,Boys,Football
Damascus,2018,2AW,RR,Boys,Football
Damascus,2006,4AW,RS,Boys,Football
Damascus,2008,3AW,RS,Boys,Football
Damascus,2009,3AW,RS,Boys,Football
Damascus,2012,3AW,RS,Boys,Football
Damascus,2013,3AW,RS,Boys,Football
Damascus,2021,3AW,RR2,Boys,Football
Damascus,2023,2AW,RR2,Boys,Football
Stephen Decatur,2023,2AE,CH,Boys,Football
Stephen Decatur,1988,1A,SF,Boys,Football
Stephen Decatur,2004,2AE,SF,Boys,Football
Stephen Decatur,2022,2AE,SF,Boys,Football
Stephen Decatur,2000,2A,QF,Boys,Football
Stephen Decatur,2002,2A,QF,Boys,Football
Stephen Decatur,2021,2AE,QF,Boys,Football
Stephen Decatur,2003,2AE,RR,Boys,Football
Stephen Decatur,2005,2AE,RR,Boys,Football
Stephen Decatur,2008,3AE,RS,Boys,Football
Stephen Decatur,2010,3AE,RS,Boys,Football
Stephen Decatur,2011,3AE,RS,Boys,Football
Stephen Decatur,2013,3AS,RS,Boys,Football
Digital Harbor,2007,1AS,RS,Boys,Football
Digital Harbor,2011,3AN,RS,Boys,Football
Digital Harbor,2019,2AN,RR1,Boys,Football
Digital Harbor,2021,3AS,RR1,Boys,Football
Digital Harbor,2022,3AS,RR1,Boys,Football
Digital Harbor,2023,4A/3AN,RR1,Boys,Football
Frederick Douglass - B,2013,1AS,RU,Boys,Football
Frederick Douglass - B,2014,1AS,RU,Boys,Football
Frederick Douglass - B,2010,2AN,RS,Boys,Football
Frederick Douglass - B,2012,2AN,RS,Boys,Football
Frederick Douglass - B,2018,1AN,RS,Boys,Football
Frederick Douglass - B,2021,1AS,RR2,Boys,Football
Frederick Douglass - B,2022,1AS,RR2,Boys,Football
Frederick Douglass - B,2019,1AN,RR1,Boys,Football
Frederick Douglass - B,2023,1AS,RR1,Boys,Football
Frederick Douglass - PG,2014,2AS,CH,Boys,Football
Frederick Douglass - PG,2021,2AS,CH,Boys,Football
Frederick Douglass - PG,1975,A,RU,Boys,Football
Frederick Douglass - PG,2011,2AS,RU,Boys,Football
Frederick Douglass - PG,2012,2AS,RU,Boys,Football
Frederick Douglass - PG,2018,1AS,RU,Boys,Football
Frederick Douglass - PG,1990,2A,SF,Boys,Football
Frederick Douglass - PG,1991,3A,SF,Boys,Football
Frederick Douglass - PG,1993,3A,SF,Boys,Football
Frederick Douglass - PG,2000,3A,SF,Boys,Football
Frederick Douglass - PG,2004,3AE,SF,Boys,Football
Frederick Douglass - PG,2005,4AS,SF,Boys,Football
Frederick Douglass - PG,2009,2AS,SF,Boys,Football
Frederick Douglass - PG,1992,3A,QF,Boys,Football
Frederick Douglass - PG,1995,3A,QF,Boys,Football
Frederick Douglass - PG,1996,3A,QF,Boys,Football
Frederick Douglass - PG,2019,2AS,QF,Boys,Football
Frederick Douglass - PG,2003,3AE,RR,Boys,Football
Frederick Douglass - PG,2008,2AS,RR,Boys,Football
Frederick Douglass - PG,2017,1AS,RR,Boys,Football
Frederick Douglass - PG,2006,2AS,RS,Boys,Football
Frederick Douglass - PG,2007,2AS,RS,Boys,Football
Frederick Douglass - PG,2010,2AS,RS,Boys,Football
Frederick Douglass - PG,2013,2AS,RS,Boys,Football
Frederick Douglass - PG,2022,2AS,RR2,Boys,Football
Frederick Douglass - PG,2023,2A/1AS,RR2,Boys,Football
x-WEB DuBois,2008,1AS,RR,Boys,Football
x-WEB DuBois,2003,1AS,RS,Boys,Football
x-WEB DuBois,2004,1AS,RS,Boys,Football
x-WEB DuBois,2011,1AS,RS,Boys,Football
x-WEB DuBois,2012,1AS,RS,Boys,Football
x-WEB DuBois,2013,1AS,RS,Boys,Football
Dulaney,1978,AA,SF,Boys,Football
Dulaney,2004,4AN,RS,Boys,Football
Dulaney,2022,4A/3AN,RR2,Boys,Football
Dulaney,2019,4AN,RR1,Boys,Football
Dulaney,2023,4A/3AN,RR1,Boys,Football
Paul Laurence Dunbar,1994,2A,CH,Boys,Football
Paul Laurence Dunbar,1995,3A,CH,Boys,Football
Paul Laurence Dunbar,2004,1AS,CH,Boys,Football
Paul Laurence Dunbar,2006,1AS,CH,Boys,Football
Paul Laurence Dunbar,2007,1AS,CH,Boys,Football
Paul Laurence Dunbar,2008,1AS,CH,Boys,Football
Paul Laurence Dunbar,2010,1AS,CH,Boys,Football
Paul Laurence Dunbar,2011,1AS,CH,Boys,Football
Paul Laurence Dunbar,2012,1AS,CH,Boys,Football
Paul Laurence Dunbar,2017,1AN,CH,Boys,Football
Paul Laurence Dunbar,2021,2A/1AN,CH,Boys,Football
Paul Laurence Dunbar,2022,2A/1AN,CH,Boys,Football
Paul Laurence Dunbar,2023,2A/1AE,CH,Boys,Football
Paul Laurence Dunbar,1997,2A,RU,Boys,Football
Paul Laurence Dunbar,2014,2AN,RU,Boys,Football
Paul Laurence Dunbar,2019,1AN,RU,Boys,Football
Paul Laurence Dunbar,1993,2A,SF,Boys,Football
Paul Laurence Dunbar,1996,3A,SF,Boys,Football
Paul Laurence Dunbar,2003,1AS,SF,Boys,Football
Paul Laurence Dunbar,2005,1AS,SF,Boys,Football
Paul Laurence Dunbar,2009,1AS,SF,Boys,Football
Paul Laurence Dunbar,2015,2AN,SF,Boys,Football
Paul Laurence Dunbar,2016,2AN,SF,Boys,Football
Paul Laurence Dunbar,2018,1AN,SF,Boys,Football
Paul Laurence Dunbar,1999,2A,QF,Boys,Football
Paul Laurence Dunbar,2002,1A,QF,Boys,Football
Paul Laurence Dunbar,2013,2AN,RR,Boys,Football
Dundalk,2015,3AN,RU,Boys,Football
Dundalk,2021,4A/3AN,RU,Boys,Football
Dundalk,2022,4A/3AN,SF,Boys,Football
Dundalk,1990,3A,QF,Boys,Football
Dundalk,2002,3A,QF,Boys,Football
Dundalk,2012,2AN,RR,Boys,Football
Dundalk,2018,3AN,RR,Boys,Football
Dundalk,2003,3AN,RS,Boys,Football
Dundalk,2009,2AN,RS,Boys,Football
Dundalk,2010,2AN,RS,Boys,Football
Dundalk,2011,2AN,RS,Boys,Football
Dundalk,2016,3AN,RS,Boys,Football
Dundalk,2019,3AN,RR2,Boys,Football
Dundalk,2023,4AE,RR2,Boys,Football
DuVal,1988,3A,CH,Boys,Football
DuVal,1989,3A,SF,Boys,Football
DuVal,2014,4AS,SF,Boys,Football
DuVal,2013,4AS,RR,Boys,Football
DuVal,2007,4AS,RS,Boys,Football
DuVal,2012,4AS,RS,Boys,Football
Eastern Technical,2009,2AN,CH,Boys,Football
Eastern Technical,1998,3A,RU,Boys,Football
Eastern Technical,2007,2AN,RU,Boys,Football
Eastern Technical,2008,2AN,RU,Boys,Football
Eastern Technical,2003,2AN,SF,Boys,Football
Eastern Technical,2010,2AN,SF,Boys,Football
Eastern Technical,1997,3A,QF,Boys,Football
Eastern Technical,2000,3A,QF,Boys,Football
Eastern Technical,2001,2A,QF,Boys,Football
Eastern Technical,2004,2AN,RR,Boys,Football
Eastern Technical,2014,2AN,RR,Boys,Football
Eastern Technical,2018,2AN,RR,Boys,Football
Eastern Technical,2005,2AN,RS,Boys,Football
