team, year, class, status, gender
Oakland Mills, 1976, C, Finalist, Boys
Winston Churchill, 1977, AA, Champion, Boys
High Point, 1977, AA, Finalist, Boys
Seneca Valley, 1977, A, Champion, Boys
Friendly, 1977, A, Finalist, Boys
Hereford, 1977, B, Champion, Boys
Howard, 1977, B, Finalist, Boys
Smithsburg, 1977, C, Champion, Boys
Middletown, 1977, C, Finalist, Boys
Winston Churchill, 1978, AA, Champion, Boys
High Point, 1978, AA, Finalist, Boys
Thomas S. Wootton, 1978, A, Champion, Boys
Seneca Valley, 1978, A, Finalist, Boys
Hereford, 1978, B, Champion, Boys
Williamsport, 1978, B, Finalist, Boys
Centennial, 1978, C, Champion, Boys
Boonsboro, 1978, C, Finalist, Boys
Dulaney, 1979, AA, Champion, Boys
High Point, 1979, AA, Finalist, Boys
Fairmont Heights, 1979, A, Champion, Boys
Richard Montgomery, 1979, A, Finalist, Boys
Sherwood, 1979, B, Champion, Boys
Atholton, 1979, B, Finalist, Boys
Middletown, 1979, C, Champion, Boys
Havre de Grace, 1979, C, Finalist, Boys
Dulaney, 1980, AA, Champion, Boys
Friendly, 1980, AA, Finalist, Boys
Richard Montgomery, 1980, A, Champion, Boys
Albert Einstein, 1980, A, Finalist, Boys
Centennial, 1980, B, Champion, Boys
Fallston, 1980, B, Finalist, Boys
Beall, 1980, C, Champion, Boys
Middletown, 1980, C, Finalist, Boys
Dulaney, 1981, AA, Champion, Boys
Seneca Valley, 1981, AA, Finalist, Boys
Loch Raven, 1981, A, Champion, Boys
Richard Montgomery, 1981, A, Finalist, Boys
Fallston, 1981, B, Champion, Boys
North Harford, 1981, B, Finalist, Boys
Beall, 1981, C, Champion, Boys
Boonsboro, 1981, C, Finalist, Boys
Westminster, 1982, AA, Champion, Boys
Dulaney, 1982, AA, Finalist, Boys
Robert E. Peary, 1982, A, Champion, Boys
Loch Raven, 1982, A, Finalist, Boys
North Harford, 1982, B, Champion, Boys
Atholton, 1982, B, Finalist, Boys
Middletown, 1982, C, Champion, Boys
Hammond, 1982, C, Finalist, Boys
Dulaney, 1983, AA, Champion, Boys
