Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
2019,Lacrosse,Girls,Patterson Mill,Kim Burgasser,1A,Champion,20.0,4.0,South Carroll,,
2019,Lacrosse,Girls,South Carroll,Brigid Scanlon,2A,Champion,10.0,9.0,Patterson Mill,,
2019,Lacrosse,Girls,Westminster,Jackie Stevens,3A,Champion,15.0,9.0,Severna Park,,
2021,Lacrosse,Girls,Broadneck,Katy Kelley,4A,Champion,12.0,11.0,Marriotts Ridge,,
2021,Lacrosse,Girls,Liberty,Tom Brandel,1A,Champion,10.0,9.0,Queen Anne’s,,
2021,Lacrosse,Girls,Marriotts Ridge,Amanda Brady,3A,Champion,16.0,11.0,Broadneck,,
2021,Lacrosse,Girls,Queen Anne’s,Kesley Fitzgerald,2A,Champion,13.0,10.0,Liberty,,
2022,Lacrosse,Girls,Marriotts Ridge,Amanda Brady,3A,Champion,11.0,10.0,Broadneck,,
2022,Lacrosse,Girls,Liberty,Tom Brandel,1A,Champion,9.0,4.0,Century,,
2022,Lacrosse,Girls,Broadneck,Katy Kelley,4A,Champion,17.0,4.0,Marriotts Ridge,,
2022,Lacrosse,Girls,Century,Becky Groves,2A,Champion,16.0,6.0,Liberty,,
2023,Lacrosse,Girls,Severna Park,Annie Houghton,3A,Champion,12.0,8.0,Manchester Valley,,
2023,Lacrosse,Girls,Broadneck,Katy Kelley,4A,Champion,9.0,8.0,Severna Park,,
2023,Lacrosse,Girls,Manchester Valley,Shelly Brezicki,2A,Champion,15.0,7.0,Liberty,,
