f,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS,,,,,,,
FAIRMONT HEIGHTS,1963,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,1964,CHAMPION,BOYS,72-55,KEN FREEMAN,A,,,,,,,
FAIRMONT HEIGHTS,1966,CHAMPION,BOYS,81-47,KEN FREEMAN,A,,,,,,,
FAIRMONT HEIGHTS,1968,CHAMPION,BOYS,67-66,KEN FREEMAN,A,,,,,,,
FAIRMONT HEIGHTS,1969,CHAMPION,BOYS,82-55,KEN FREEMAN,B,,,,,,,
FAIRMONT HEIGHTS,1970,CHAMPION,BOYS,91-52,KEN FREEMAN,A,,,,,,,
FAIRMONT HEIGHTS,1971,CHAMPION,BOYS,120-69,KEN FREEMAN,A,,,,,,,
FAIRMONT HEIGHTS,1981,CHAMPION,BOYS,73-69,PAUL PINSKY,A,,,,,,,
FAIRMONT HEIGHTS,1984,CHAMPION,GIRLS,56-45,JOAN ROTHGEB,A,,,,,,,
FAIRMONT HEIGHTS,1985,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,1991,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,2001,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,2001,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,2007,FINALIST,BOYS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,2017,CHAMPION,BOYS,65-52,CHUCK HENRY,1A,,,,,,,
FAIRMONT HEIGHTS,2018,FINALIST,BOYS,NA,NA,NA,,,,,,,
FAIRMONT HEIGHTS,2020,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FALLSTON,1984,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1986,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1987,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FALLSTON,1987,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1992,FINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1993,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FALLSTON,1993,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1994,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1995,FINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,1997,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,2007,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,2009,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
FALLSTON,2010,CHAMPION,GIRLS,58-53,MICHAEL MCTEAGUE,2A,,,,,,,
FALLSTON,2022,CHAMPION,GIRLS,57-56 OT,JOHNNY WOODS,2A,,,,,,,
FEDERALSBURG,1954,CHAMPION,BOYS,NA,NA,NA,,,,,,,
FLINTSTONE,1983,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FOREST PARK,1998,CHAMPION,BOYS,45-43,GREGORY WARREN,C,,,,,,,
FOREST PARK,2015,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FOREST PARK,2016,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FOREST PARK,2020,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FOREST PARK,2022,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FOREST PARK,2023,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FOREST PARK,2024,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FORESTVILLE,1985,CHAMPION,BOYS,67-63,AARON HOLDER,B,,,,,,,
FORESTVILLE,1985,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FORESTVILLE,1987,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORESTVILLE,1991,CHAMPION,BOYS,77-59,GARY MCCORKLE,B,,,,,,,
FORESTVILLE,1992,CHAMPION,BOYS,84-53,GARY MCCORKLE,B,,,,,,,
FORESTVILLE,1995,CHAMPION,BOYS,67-63,IRVIN HAY,C,,,,,,,
FORESTVILLE,2015,CHAMPION,GIRLS,54-38,JAMES WASHINGTON,1A,,,,,,,
FORESTVILLE,2016,CHAMPION,GIRLS,71-40,JAMES WASHINGTON,1A,,,,,,,
FORT HILL,1938,CHAMPION,BOYS,NA,BOBBY CAVANAUGH,NA,,,,,,,
FORT HILL,1939,CHAMPION,BOYS,NA,BOBBY CAVANAUGH,NA,,,,,,,
FORT HILL,1948,CHAMPION,BOYS,79-16,BOBBY CAVANAUGH,A,,,,,,,
FORT HILL,1949,CHAMPION,BOYS,53-36,BOBBY CAVANAUGH,A,,,,,,,
FORT HILL,1958,CHAMPION,BOYS,62-44,JOHN CAVANAUGH,A,,,,,,,
FORT HILL,1965,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,1973,FINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,1979,FINALIST,GIRLS,NA,NA,NA,,,,,,,
FORT HILL,1984,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FORT HILL,2000,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,2001,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,2003,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,2007,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,2008,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,2012,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FORT HILL,2022,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FORT HILL,2023,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FORT HILL,2024,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FRANCIS SCOTT KEY,1960,FINALIST,BOYS,NA,NA,NA,,,,,,,
FRANCIS SCOTT KEY,1961,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FRANCIS SCOTT KEY,1977,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FRANCIS SCOTT KEY,1978,FINALIST,GIRLS,NA,NA,NA,,,,,,,
FRANCIS SCOTT KEY,1987,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FRANCIS SCOTT KEY,1997,CHAMPION,GIRLS,53-23,ALICE SMITH,1A,,,,,,,
FRANCIS SCOTT KEY,2024,FINALIST,GIRLS,NA,NA,NA,,,,,,,
FRANKLIN,1948,CHAMPION,BOYS,62-38,FRANK DORN,B,,,,,,,
FREDERICK,1957,CHAMPION,BOYS,58-51,HOMER BROOKS,A,,,,,,,
FREDERICK,1963,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1967,CHAMPION,BOYS,59-41,HOMER BROOKS,A,,,,,,,
FREDERICK,1968,FINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1969,FINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1970,FINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1972,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1973,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1974,CHAMPION,BOYS,54-53,BILL BROOKS,B,,,,,,,
FREDERICK,1975,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1978,CHAMPION,BOYS,64-62,BILL BROOKS,B,,,,,,,
FREDERICK,1979,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1980,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
FREDERICK,1981,FINALIST,BOYS,NA,NA,NA,,,,,,,
FREDERICK,1982,CHAMPION,BOYS,70-58,BUD ROGERS,B,,,,,,,
FREDERICK,1991,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
